,abst,auth,sect_abs,title
507,"The  neural recycling hypothesis posits that learning arithmetic relies on the progressive ‘‘recycling’’ of evolutionary older neural circuits dedicated to magnitude comparison in the intraparietal sulcus (IPS). It has been  177  Poster Session F — Monday, April 2, 1:00 - 3:00 pm, Exhibit Hall suggested, however, that the degree to which IPS mechanisms are recycled depends upon the degree of similarity with the novel task. For example, IPS mechanisms are more likely to be used when learning arithmetic concepts that involve number comparison (e.g., single-digit subtraction) than arithmetic concepts relying on the retrieval of number facts from verbal memory (e.g., single-digit multiplication). To investigate this issue, we asked typically developing children from ages 8 to 14 to evaluate single-digit subtraction and multiplication problems while in an fMRI scanner. We found that a region of the right IPS that was localized by a magnitude comparison task was increasingly involved in evaluating subtraction problems with age. Such developmental change, however, was specific to subtraction problems. First, we observed a developmental decrease of activity in this IPS region during multiplication problem-solving. Second, with increasing age, multiplication problems were increasingly associated with a region of the left Middle Temporal Gyrus (MTG) that was localized by a verbal processing task. Consistent with the recycling hypothesis, these findings suggest that the neural systems underlying magnitude comparison are recycled during the acquisition of arithmetic concepts that involve number comparison (i.e., subtraction). However, acquiring arithmetic concepts that are typically taught by verbal memorization (i.e., multiplication) rather rely on the brain systems representing verbal semantic knowledge in the left temporal cortex. ","chna  Mutreja1, Jérôme Prado1, James R. Booth1; 1Northwestern University",F99, THE NEURAL DEVELOPMENT OF ARITHMETIC: TASK-DEPENDENT RECYCLING OF NUMERICAL AND VERBAL MECHANISMS R.
508,"Risk taking is more pervasive in adolescent males than in  other groups. To investigate whether this increased prevalence might be related to relative differences in feedback processing, we investigated the effects of age and gender on the feedback related negativity (FRN). The EEG was recorded from both adults (25-35 years old) and adolescents (13-17 years old) in a simple monetary gambling task. Participants selected one of two colored cards that appeared on a computer screen and then received feedback about their choice. Consistent with previous studies, the event-related potential elicited by feedback (FRN) was found be larger to losses than to wins, and was also larger in adolescents compared to adults. However, follow-up ANOVAs indicated that both adult and adolescent males showed a significant Magnitude (large, small) x Valence (win, loss) interaction, whereas females did not. Females showed a clear differentiation between wins and losses of either magnitude, whereas males processed a small win much like a loss. These data suggest that large rewards might be more reinforcing for males than for females and therefore, might help to explain why males are more likely to engage in risk taking in real-world contexts. Furthermore, boys showed relatively longer latency FRNs to large losses in comparison to girls. In another study, we have shown that FRN latency correlates with risk taking on a behavioral gambling task. Therefore, these data suggest that sensitivity to feedback processing, as evidenced by the FRN, may be a sensitive predictor of risk taking in adolescents. "," Katherine Navarro1,3, Lillian Pena1, Alison Higgins1, Brooke Chiusano1, Danielle Mascarelli1, Tina Zottoli2,4; 1John Jay College of Criminal Justice, CUNY, 2The Graduate Center, CUNY, 3Queens College, CUNY, 4Saint Joseph's College, NY",F100," AGE AND GENDER DIFFERENCES IN THE FEEDBACK-RELATED NEGATIVITY (FRN) IN A SIMPLE GAMBLING TASK. CUNY, CUNY, CUNY, NY"
509,"Prior research suggests that adolescents are drawn to the temptations of immediate rewards to a greater degree than adults. Dual-process accounts of adolescent decision making posit that this bias derives from a developmentally normative imbalance in the neural dynamics underlying adolescent choice behavior, such that immature cognitive control circuitry lacks the processing efficiency and functional integration to effectively modulate subcortical  178  circuitry exhibiting heightened sensitivity to the approach value of immediately available rewards. The present study utilized fMRI to examine differences between middle/late adolescents (N=20, ages 13-21) and adults (N=20, ages 25-34) in neural activity and choice behavior corresponding to the comparative evaluation of sooner-smaller and largerlater rewards in an intertemporal choice task. Behavioral results confirm that adolescents are more inclined than adults to sacrifice the added value of a larger future reward in order to receive a smaller reward immediately. Furthermore, relative to adults, adolescents evince stronger evaluation-related engagement of brain regions implicated in incentive processing (including bilateral caudate), consistent with a processing bias favoring the immediate reward properties of choice stimuli. In addition, adolescents show stronger deactivation of regions implicated in cognitive control (including anterior cingulate and dorsolateral prefrontal cortex) when evaluating rewards with relatively longer delays, consistent with a failure to carefully consider the value of future rewards. Together, results suggest that neurodevelopmental theories of adolescent decision making would be improved by more explicit modeling of age differences in the neural processes underlying evaluation of the temporal properties of rewards. "," Dustin Albert1, Jason Chein2,  Ashley Smith2, Kaitlyn Uckert3, Laurence Steinberg2; 1Duke University, 2Temple University, 3University of California at Los Angeles",F101, THE FUTURE IS NOW: DIFFERENCES BETWEEN ADOLESCENTS AND ADULTS IN THE NEURAL AND BEHAVIORAL MARKERS OF INTERTEMPORAL CHOICE EVALUATION
510,"Little work has examined our  understanding of counterintuitive quantities like negative numbers, which reverse the established relationship between digit magnitude and value, and how this processing develops. This study examined adults’ and children’s responses to negative and positive numbers in a simple paired comparison task performed during an fMRI session. Adults demonstrated a typical distance effect for negative numbers, with activity in the intraparietal sulcus (IPS) increasing as comparison distance decreased; further, adults generally showed more brain activity in the IPS and caudate for negative number comparisons than for positive. Fifth-grade children (who had not yet learned about negative numbers in school) were 83% accurate for negative numbers, but showed a reversed effect of distance in the IPS for negatives and more parietal and subcortical activity for positive than negative comparisons. Seventhgrade children (who had at least one year of instruction on negatives) demonstrated 86% accuracy and an adult-like IPS distance effect for negatives, but still showed more activity parietal lobe for positive than negative pairs. As such, adults demonstrated typical comparison effects for negative numbers in basic quantity-related brain areas, but also drew on supplementary areas including the caudate. Children’s pre-instruction treatment of negative numbers was not adult-like; after a limited amount of instruction on and practice with negative numbers, children’s neural comparison effects approached those of adults but were not completely mature. These changes in response patterns suggest a shift in negative number understanding, and perhaps flexibility in the mental number system. "," Margaret Gullick1,  George Wolford1; 1Dartmouth College",F102, UNDERSTANDING LESS THAN NOTHING: A DEVELOPMENTAL FMRI STUDY OF NEGATIVE NUMBER COMPARISONS
511,"Perceptual attention enhances the processing of items currently being perceived, while internal attention enhances processing of items encoded in working memory (WM). In cueing paradigms, a cue indicates the to-be-probed item either before (pre cueing) or after (retrocueing) the memory display and tests shifts of perceptual and internal attention, respectively. Both cue types confer similar benefits in accuracy (pre-: 14-19%, retro-: 11-17%) and neuroimaging data show that they activate highly overlapping frontoparietal networks (Lepsien & Nobre, 2006). Yet behavioral and neuroimaging differences have been reported suggesting that these two forms of attention can be disentangled. Here, we tested the hypothesis that internal attention relies more heavily on frontal activations than perceptual attention. We applied cathodal transcranial direct current stimulation (tDCS) to frontal (F4) and parietal (P4) cortices in separate experimental sessions. We predicted that suppressing frontal cortex would have a significantly greater negative impact on internal attention than on perceptual attention. Our results confirmed these predictions. Cathodal tDCS across site (frontal, parietal) and cueing paradigm (pre-, retro-) hindered performance. However, frontal tDCS had a greater negative impact on the retro-cued trials demonstrating greater influence on internal attention. These results concur with the neuroimaging data. We suggest that although internal and perceptual attention are mediated by the same frontoparietal networks, the weight of contribution of these structures differs, with internal attention relying more heavily on the frontal cortex. "," Ryan Tanoue1, Marian Berryhill1; 1University of Nevada, Reno",G1, DIFFERENTIAL FRONTAL INVOLVEMENT IN SHIFTS OF INTERNAL AND PERCEPTUAL ATTENTION
512,"Fast detection of threatening stimuli and demanding more attentional resources to them were assumed to be helpful for the survival of the individuals. Relevant to this point, this study investigates the effect of threatening stimuli on attention and how this effect was modulated by the top-down attentional control using the cuing task. Participants were recruited from the normal population. Three kinds of schematic face (angry, happy and neutral face) were included as the cue. The percentage of valid trials (valid ratio: 75%, 50%, or 25%) was manipulated to observe the modulation effects of top-down control. Stimulus-onset-asynchrony (SOA) was also manipulated to observe the time course of the cuing effects. In Experiment 1, four conditions of SOA include 150, 300, 500, 1000ms. In Experiment 2, long SOA (500, 750, 1000 or 1250ms) was selected and the procedure of fixation cross darkened after cuing was introduced to enhance the IOR effect. From the results of two experiments, valid ratio was found to play an important role to affect the cuing effects. The higher the valid ratio is, the larger the validity effect obtained (Experiment 1). Also lower valid ratio  180  enhanced the IOR effect (Experiment 2). For the effect of face emotion, only in 75% valid ratio condition of the Experiment 2, IOR effect was found to be different among three face conditions. Compared to the results of the studies using visual search or dot-probe tasks, we propose that competing between items is an important factor to reveal the effects of emotional stimuli. "," Shwu-Lih Huang1, Hung-Ta Chung1, Yu-Chieh Chang1; 1  National Chengchi University",G2, TOP-DOWN ATTENTION MODULATES THE CUING EFFECTS OF THE EMOTIONAL FACES
513,"Mental rotation ability and number skills have long been seen as bedfellows in the literature surrounding intelligence, but at what level of numerical cognition does this connection lie? With 34 participants representing a wide range of scores on the well-established Vandenberg & Kuse (1978) Mental Rotation Test, our study endeavoured to examine the possible link between mental rotation abilities and numerical representation. All participants completed a pen-and-paper mental rotation task, as well as a multi-digit number magnitude comparison task and a computer number-line estimation task. The numerical magnitude comparison task measured the compatibility effect (Nuerk et al., 2001), which indicates decomposed processing of tens and units digits, thus signalling the propensity to hold multiple number magnitude representations simultaneously; the number-line mapping task, on the other hand, is commonly interpreted as a measure of the precision of number magnitude representation, and additionally serves as a predictor for future mathematics skills in children (Booth & Siegler, 2008). We found that mental rotation ability correlated significantly with both size of the compatibility effect and with number mapping accuracy. Taken together, these correlations imply that mental rotation abilities are linked to numerical abilities at the level of number representation, in particular suggesting that higher mental rotation abilities may be associated with more precise and detailed number representation. These results also provide further evidence to the connection between spatial and numerical abilities, already well-supported by anatomical and behavioural evidence (Walsh 2003, Hubbard et al., 2005). ","e Thompson1, Hans-Christoph  Nuerk2, Korbinian Möller2,3, Tudor Popescu1, Roi Cohen Kadosh1; 1University of Oxford, 2Eberhard Karls University, Tübingen, Germany, 3Knowledge Media Research Center, IWM-KMRC, Tübingen, Germany",G3," NUMERICAL REPRESENTATION DIFFERS SYSTEMATICALLY ACCORDING TO MENTAL ROTATION ABILITY IWM-KMRC,"
514,"Spatial orienting can be driven either by external events (reflexive attention) or by the current goals of an individual (voluntary attention). Two cortical networks subserve these processes-the ventrolateral network, which controls reflexive orienting, and the dorsolateral network, which controls volitional orienting. In the last decade, numerous studies reported that spatial attention is reflexively shifted in the direction of perceived gaze, but the relative contributions of the dorsal and ventral attention networks in social orienting remain unclear. We examined the neural dynamics of social orienting using electroencephalography (EEG) and Multiple Source Beamformer (MSBF) techniques. Participants viewed Cognitive Neuroscience Society — 2012 Annual Meeting  Monday, April 2, 5:00 - 7:00 pm, Exhibit Hall — Poster Session G central uninformative central gaze cues and detected peripheral targets. Analyses of the ERP data indicated that only individuals who showed social orienting effects exhibited increased target-evoked responses typically associated with spatial attention (e.g., P1) and larger N170 amplitudes. MSBF analyses indicated that the dissociation in behavioral performance between individuals who showed the social orienting effect and those that did not was accompanied by a dissociation between the two attentional networks. The regions comprising the ventrolateral network were activated in participants who displayed social orienting while the regions comprising the dorsolateral network were activated in participants who did not display social orienting. These findings strongly suggest that the ventrolateral attention network plays a key role in directing and maintaining social attention. "," Jelena Ristic1, Barry Giesbrecht2; 1  McGill University, 2University of California Santa Barbara",G4, BRAIN MECHANISMS OF SOCIAL COGNITION: THE KEY ROLE OF THE VENTROLATERAL ATTENTION NETWORK
515,"Flexible behavior requires shifts between internally driven (endogenous) processing, and stimulus driven (exogenous) processing. Using a signal-detection task (the Sustained Attention Task, SAT), we have identified neural signatures of these shifts: frontal cholinergic transients in rodents, and transient BOLD activations of right rostral prefrontal cortex in humans. Here we report electrophysiological correlates of these shifts and examine whether their timing may vary for different trial sequences. On each trial, subjects monitored for a brief signal, and after a cue to respond indicated its presence or absence. Analyses focused on shifts from ongoing monitoring (correct rejection trials) to signal detection (hit trials). Trial-sequence specific analyses differentiated hits preceded by correct rejections (CR-hits) from hits preceded by hits (hit-hits). Specifically, signal-evoked P300 amplitude was larger for CR-hits than hit-hits, reflecting a shift from ongoing processing to stimulus-driven attention and response. Interestingly, the opposite pattern occurred at the response cue: Here, P300 amplitude was smaller for CR-hits than for hit-hits. This decrease suggests fewer attentional resources are necessary at the response period for signals that direct shifts from endogenous to exogenous processing modes. Further analysis will test whether CR-hits are associated with enhanced power in the gamma spectrum, as our rodent studies indicate that gamma power and acetylcholine release increase in prefrontal cortex for CR-hits relative to hit-hits. Findings from the current study will contribute to a more precise understanding of the neural mechanisms of processing mode shifts integrating multiple methods and species. "," Anne  Berry1, Jose Torres1, Ursula Seals1, Melisa Carrasco1, Martin Sarter1, William Gehring1, Cindy Lustig1; 1University of Michigan, Ann Arbor",G5, SHIFTS FROM ENDOGENOUS TO EXOGENOUS ATTENTION ARE ASSOCIATED WITH MODULATION OF THE P300 COMPONENT
516,"Numerous neuroimaging studies of top-  down attentional control have shown activations in frontal and parietal cortex associated with the cued voluntary shifting of visual attention, typically accompanied by spatially-specific modulations of activity in sensory cortex that are thought to reflect biasing of those sensory-processing regions that will process a subsequent expected target. The oftnoted downside of fMRI, however, is its poor temporal resolution, making it difficult to disentangle the set of cognitive processes that occur during a shift of attention. The high temporal resolution of EEG can help determine when processes occur, such as showing fronto-parietal control activity preceding sensory biasing, but with fairly limited neuroanatomical spatial precision. Linking the fMRI and EEG activities has been difficult, typically relying on recordings acquired in separate sessions and source-modeling estimations of the EEG. Here, we simultaneously recorded EEG and fMRI activity and examined their single-trial covariation during spatial shifts of attention. Using specific facets of the cue-elicited EEG activity as regressors for the corresponding cue-elicited fMRI responses, we found slow-wave ERP components that covaried with  Cognitive Neuroscience Society — 2012 Annual Meeting  frontal and parietal fMRI responses during the shifting of attention. In addition, lateralized posterior modulations of pretarget alpha-band oscillatory EEG activity covaried with lateralized modulations of occipital fMRI activations. This approach shows great promise in enabling the linking of different aspects of the high-temporal-resolution EEG to the corresponding fMRI responses, independent of, and/or in addition to, any source-modeling analyses, thereby helping to delineate the temporal cascade of neural activity associated with the top-down attention control of sensory processing. "," Jessica Green1, Carsten  Boehler1, Kenneth Roberts1, Ling-chia Chen1, Ruth Krebs1, Allen Song1, Marty Woldorff1; 1Duke University",G6, SIMULTANEOUS EEG/FMRI OF TOP-DOWN ATTENTIONAL CONTROL AND PRE-TARGET BIASING OF SENSORY CORTEX
517,"Endogenous and exogenous attentional mechanisms differ along several dimensions, suggesting differences in their underlying neural processes. We devised a visual memory task in which exogenous and endogenous attentional processes might exert distinct influences, and exploited alpha band oscillations as a marker of attention. Differences in phase synchrony and alpha band power at critical points during the task distinguish endogenous and exogenous attentional influences. Subjects (n=12) performed a visualattention task while EEG signals were recorded using a high-density electrode system. On each trial, subjects saw two briefly-presented Gabor stimuli. A visual cue immediately before each Gabor instructed the subject whether that Gabor should be attended to or ignored. After seeing both Gabors, the subject reproduced the spatial frequency of the attended Gabor. Importantly, the presentation of the unpredictable cue for the first Gabor rendered the cue for the second Gabor redundant. Consequently, attention to or ignoring that second Gabor could draw on a strongly endogenous component as subjects would have a reliable expectation about whether it should be attended or ignored. ? The power of alpha oscillations recorded from posterior electrodes significantly differed during the presentation of the first and second cues. Specifically, during a trial’s second cue, there was a relative increase in alpha power, reflecting attention’s endogenous component. As a subject’s expectation becomes more dependable, the associated increase in posterior alpha reflects a reduced dependence upon exogenous, event-driven information, and greater reliance on exogenous information. "," Sylvia Guillory1, Lisa Payne1,  Robert Sekuler1; 1Brandeis University",G7, ALPHA-BAND OSCILLATIONS DISTINGUISH ENDOGENOUS AND EXOGENOUS ATTENTIONAL INFLUENCES
518,"Recent studies sug-  gest that spatial attention increases gamma-band (>20 Hz) synchronization in local neural assemblies processing visual stimuli at the attended location, thereby facilitating binding of information into coherent percepts. Additional studies have shown that deployment of attention to one side of visual space results in lateralization of band-specific EEG activity over symmetric parietal, occipital, and motor areas. Our goal was to determine how these lateralized attention-related signals interact with local visual populations, which presumably have resonant frequencies in the gamma band. In this study we use frequency tagging methods to localize gamma-band sensory responses to attended/unattended visual stimuli recorded using simultaneous EEG/MEG. At the start of each trial the subject was cued to attend left, right, or switch. The subject then observed a pair of dynamic stimuli presented in symmetric left/ right visual hemifields, one which flickered at 20 Hz, the other at 30 Hz. The stimulus in each hemifield consisted of a circular region containing a field of randomly oriented bars- a novel bar-field was presented on each flicker cycle. Subjects were asked to detect/ignore targets in the attended/unattended fields, which were bounded by green/red annuli. On switching trials these annuli switched colors at random intervals, prompting the subject to switch attention to the opposite hemifield. These stimuli evoked responses which localized to occipital areas and increased in magnitude when attended. We used these data to develop a  181  Poster Session G — Monday, April 2, 5:00 - 7:00 pm, Exhibit Hall statistical model of the interaction between attention-related signals (isolated in response to attentional switches) and the local steady-state gamma-band response. "," Samuel Thorpe1, Siyi Deng1, Javier Garcia2, Ramesh Srinivasan1; 1University of California, Irvine, 2University of California, San Diego",G8, MODELING THE INTERACTION BETWEEN DISTRIBUTED SPATIAL ATTENTION SIGNALS AND GAMMA-BAND STEADY-STATE VISUAL EVOKED RESPONSES IN SIMULTANOUSLY RECORDED EEG/MEG.
519,"When two stationary objects are presented in succession at different locations, they can be perceived either as two flickering objects, or as two objects switching between the two locations (apparent motion). Previous research suggested a link between apparent motion and attentive tracking (Cavanagh 1992; Verstraten, Cavanagh, & Labianca, 2000; Verstraten and Ashida, 2005), such that the correspondence problem of what went where may be determined by the position of spatial selection over time. We tested this possibility by tracking the position of spatial selection using an electrophysiological correlate (Contralateral Delay Activity; Vogel and Machizawa, 2004). Participants were presented with an ambiguous apparent motion display (6 frames, 3Hz) that included two objects. The display could be perceived as either vertical oscillations occurring separately within each visual hemifield, or long-range horizontal motion in which an object appeared to move across the left and right visual hemifields. When the horizontal motion was perceived, attention was locked to one of two objects and shifted back and forth as the selected object appeared alternatively at the two locations. Our results provide electrophysiological evidence suggesting that the spotlight of selective attention plays an important role both in generating long-range translational motion and in maintaining the identity of an object as it moves over space and time. "," Yangqing Xu1, Satoru Suzuki1, Steven Franconeri1; 1Northwestern University",G9, THE SPOTLIGHT OF SELECTIVE ATTENTION MAY CONTROL APPARENT MOTION
520,"Generally,  spatial attention prioritizes the processing of task-relevant information. However, when attention is directed to one of two stimuli with perceptual grouping factors, it is guided automatically to the other stimulus. This study examined the case of region commonality, with or without a bounded region, using event-related potentials (ERPs).Stimulus conditions consisted of two letters, one in each hemifield, which were encircled by an oval (common condition) and by two semiellipses aligned like Greek x-shape (uncommon condition). ERPs were recorded from 12 participants who were covertly attending to one hemifield while ignoring the other during rapid stimulus presentations. The task was to detect an infrequent target letter at the attended hemifield.The typical ERP attention effects (i.e., amplitude enhancement at occipito-temporal electrodes contralateral to attended visual fields) were assessed. The early and late P1 attention effects (80-105 ms; 105-130 ms) reduced for the uncommon condition, compared to the common condition. Especially, the early P1 effect was reversed (i.e., enhanced amplitude at the ipsilateral rather than contralateral electrode) with respect to the typical P1 attention effect. The N1 attention effects (150-200 ms) were also reversed for the both conditions, the extent of which was greater for the common condition.The result of N1 indicates that region commonality guides attention via the same selection mechanism that has been found in previous studies for connectedness and color similarity. The result of P1 was unexpected, which suggests that there exist some aspects of stimulus structure that cause an early attentional guidance. "," Yuji Yamada1, Tetsuko  Kasai1, Ryuji Takeya1, Yasuko Okumura1; 1Hokkaido University",G10, STIMULUS CONTEXT VIOLATES SPATIAL ATTENTION: EFFECTS OF REGION COMMONALITY ON ATTENTIONAL SELECTION
521,"Research  surrounding selective attention in those with attention deficit disorder (ADHD) often suggests that it functions similarly to controls (e.g. Huang-Pollock, et al. 2005) and instead the problems with attention result from deficits in sustained attention and inhibition (e.g. Barry et al., 2001). Studies that do suggest deficits, point to deficits in the neurologi-  182  cal mechanisms underlying selective attention such as differences in facilitation during early visual processing (Perchet et al., 2001). However, these studies have not examined preparatory activity related to facilitation, nor have they looked at the contributions of suppression in either preparatory or stimulus processing. Thus this study examined the functionality of these mechanisms in 30 adults with and without ADHD using a spatial cueing paradigm. We examined target and distracter processing as a function of the expectancy of distracter presence versus absence using event related potentials. Participants were cued to the spatial location of a target (100% valid cues) as well as to the presence or absence of distracters in the opposite hemifield (70% valid cues). Analysis of distracter-present displays for all participants showed that in addition to relative enhancement of the occipital P1 in the hemisphere contralateral to the target, processing contralateral to distracters was reduced when a distractor was anticipated compared to when it was not (appearing stronger at P7/P8 than O1/O2 for those with ADHD). Moreover, distractor related suppression was seen in the preparatory frontal ADAN component for controls, but only facilitation was seen for those with ADHD suggesting possible differences in processing mechanisms. "," Jane  Couperus1, Dylan Furlong1, Katherine Mott1; 1Hampshire College",G11, EXPRESSION OF FACILITATION AND SUPPRESSION IN VISUAL SELECTIVE ATTENTION IN ADHD: AN EVENT RELATED POTENTIAL STUDY
522,"Neglect dyslexia consists in a reading task disorder, in which neurological patients make errors in the contralesional part of the letter strings. Some studies investigated the presence and the type of reading neglect errors, examining their association with other defective manifestations of unilateral spatial neglect (USN). However no studies have analyzed the relationship between different productive symptoms in neglect patients. This experiment investigated the incidence of various forms of reading errors in patients with USN showing perseverative symptoms in cancellation tests; secondly we verified whether the presence of neglect dyslexia is associated to a more severe USN in conventional tests. Fifty-two right-brain-damaged neglect patients (27 out of 52 with neglect dyslexia, 12 of them without perseveration and 15 of them with perseveration) were given target cancellation (letter and star) and word reading tasks. Results indicated that patients with neglect dyslexia and perseveration produced more substitution than omission and addition reading errors. No prevalence of one type of reading error in non-perseverating patients was found: however the tendency of this group is to produce more omission errors. Finally the neglect dyslexia subgroup showed a more severe ipsilesional bias in target cancellation tests, supporting the view that a ipsilateral reading disorder may be present in patients with a greater attentional deficit. In conclusion, perseveration seems to be mainly associated with substitution errors in patients with neglect dyslexia: as substitution represents an active re-elaboration of the contralesional part of the verbal target, this error may be considered a “productive” reading disorder.  EMOTION & SOCIAL: Emotion-cognition interactions","Ronchi1,2, Lorella Algeri3, Laura Chiapella3,  Marcello Gallucci1, Maria Simonetta Spada3, Giuseppe Vallar1,2; 1University of Milano-Bicocca, Department of Psychology, Milano, Italy, 2Neuropsychological Laboratory, S. Luca Hospital, IRCCS Italian Auxological Istitute, Milano, Italy, 3 Azienda Ospedaliera “Ospedali Riuniti di Bergamo”, Bergamo, Italy",G12," OMISSIONS, SUBSTITUTIONS AND ADDITIONS: NEGLECT DYSLEXIA IN A WORD READING TASK S. IRCCS"
523,"During reading the cortical processing of emotional words differs from the processing of neutral words. The present study examines the functional stages of visual word processing where this differentiation occurs. Positive, negative, and neutral nouns  Cognitive Neuroscience Society — 2012 Annual Meeting  Monday, April 2, 5:00 - 7:00 pm, Exhibit Hall — Poster Session G where intermixed with letter strings and pseudowords and presented in random sequence to student participants while their EEG was recorded. The timing and spatial distribution of differences between words, pseudowords, and letter strings on the one hand and positive, negative, and neutral words on the other hand was determined. Effects of word type occurred from 180 ms after stimulus presentation, first differentiating according to word form letter strings and from pseudowords and words, and then also differing between words and pseudowords, with effects occurring predominantly over left occipito-temporal regions. Emotion effects largely followed and paralleled this formal differentiation, starting from about 210 ms after stimulus presentation and differentiating emotionally positive and negative from neutral words over primarily left occipito-temporal regions. However, specifically for negative words, earlier left occipito-temporal effects also occurred between 110 and 140 ms. Results demonstrate that during reading emotion effects occur robustly at a lexical processing stage, but that specifically for negative stimuli pre-lexical effect are also found. "," Johanna Kissler1,2, Cornelia Herbert2,3; 1University of Bielefeld,  Bielefeld, Germany, 2University of Konstanz, Konstanz, Germany, 3University of Würzburg, Würzburg, Germany",G13," EMOTION, EMTNOOI, EMITOON? -EMOTIONAL DIFFERENTIATION PRECEDES WORD-PSEUDOWORD DIFFERENTIATION DURING READING"
524,"Affective prosody is the expression of emotion in speech. Emotion is encoded by modulation of vocal pitch, loudness and speech rate. Animal models of emotional vocalizations suggest that separate pathways produce innate/emotional vs. learned/linguistic vocalizations (Jürgens, 2009). Such models posit that pathways originating in the cingulate cortex are associated with emotional vocalizations whereas pathways originating in the primary motor cortex are associated with speech. The analysis of prosody in neuroimaging studies has focused on perceptual tasks thus far, and there have been virtually no studies of the production of prosody. We examined this issue with functional MRI by studying the production of exclamations (e.g., Yay!, Damn!) compared to a series of control tasks (including producing semantically-neutral words or vocal sweeps). Beyond showing activation in the motor cortex and auditory areas, the results revealed the importance of brain areas that sit at the interface between motor function and emotion, including 1) the anterior insula/frontal operculum, 2) the “motor” and “affective” divisions of the anterior cingulate cortex, and 3) the dorsal/motor and ventral/reward divisions of the basal ganglia. Contrary to predictions generated from animal models, affective prosody might be an intrinsic component of the speech-production mechanism, rather than an add-on to it mediated by a separate emotion system. Reference: Jürgens, U. (2009). The neural control of vocalization in mammals: A review. Journal of Voice, 23, 1-10. "," Michel Belyk1, Steven Brown1;  1McMaster University",G14, THE VOCAL EXPRESSION OF EMOTION: INVOLVEMENT OF THE AFFECT/ MOTOR INTERFACE OF THE BRAIN
525,"Emotional agency is the degree to which someone feels capable of acting on the environment in response to emotion. The Iowa Gambling Task (IGT) was designed to measure emotional decision-making, related to agency. Two of the four response choices of the IGT are rewarding, with different schedules; Deck C rewards at a higher frequency while Deck D rewards at a higher magnitude. This study examined how brain activity in response to high agency stimuli is related to performance on IGT reward trials; it was hypothesized that the reward schedules of Decks C and D would correlate differently with brain activity. Functional MRI (fMRI) was performed on thirteen right-handed men (age range = 20-35) while they viewed images from the International Affective Picture System (IAPS), chosen based on normative agency ratings. Participants viewed high and low agency images in a block design. Participants also completed a computerized version of the IGT. Data were analyzed using Statistical Parametric Mapping (SPM8). Contrasts for high-low agency were created and whole-brain regression analyses were performed in SPM8. A focus of positive correlation between activation and Deck C was found in the Cognitive Neuroscience Society — 2012 Annual Meeting  cerebellar tonsil. A focus of positive correlation between activation and Deck D was found in the posterior cingulate. No negative correlations were found. Activated regions correlated with high frequency reward are associated with formation and storage of emotional responses while regions correlated with high magnitude reward are associated with error recognition and memory retrieval. These results offer insight into neuralemotional components of reward responses. "," Matthew Jerram1, Alexandra Hernandez-  Vallant1, David Gansler1; 1Suffolk University",G15, BRAIN ACTIVITY RELATED TO EMOTIONAL AGENCY CORRELATES DISPARATELY WITH DIFFERENT POSITIVE REINFORCEMENT TRIALS OF THE IOWA GAMBLING TASK
526,"The ability for  humans to actively control their emotions is essential to successful functioning in daily life. Control is achieved through the use of a wide variety of strategies, including suppression and regulation. Both of these strategies have been extensively studied individually, but their relationship has yet to be investigated within the same experiment. Neuroimaging evidence converges on the involvement of the dorsolateral prefrontal cortex (dlPFC) and anterior cingulate cortex (ACC) for both of these emotional control strategies. Additionally, decreased activation in the amygdala during suppression has also been reported. In the current study, participants viewed IAPS images under either suppression, regulation, or control instructions. Data indicate that both strategies effectively reduced participants’ emotional response to the IAPS images and resulted in similar patterns of activity. Specifically, activity increased in the dlPFC and ACC and decreased in the amygdala. These data indicate that these seemingly distinct emotional control strategies may be supported by similar underlying cognitive mechanisms and may be supported by more general executive control processes. ","in Sultan1, Erin Lightman1,  Regina Schmidt2, Eric H. Schumacher1; 1Georgia Institute of Technology, 2Air Force Research Laboratory, Wright-Patterson Air Force Base",G16, EMOTION CONTROL MECHANISMS: SHARED NEURAL ARCHITECTURE OF SUPPRESSION AND REGULATION H.
527,"A growing body of func-  tional magnetic resonance imaging (FMRI) and other research on the neural correlates of mindfulness meditation, acceptance, and pain perception shows that an intentionally practiced attitude of openness leads to improvements in the affective response to nociceptive stimuli. We implemented a novel FMRI paradigm for studying affective chronometry in a large cohort of 109 community participants and 26 meditation practitioners. A thermal nociceptive stimulus was preceded by a cued anticipation period and followed by 18 seconds of uninstructed recovery time. Consistent with previous findings from our lab and others, meditators reported lower pain unpleasantness ratings compared to non-meditators. During the middle epoch of recovery, meditation practitioners showed greater activity in the anterior insula compared to non-meditators. We also present novel software tools for visualizing time-dependent FMRI data, for investigating affective chronometry. "," David Perlman1,2,3, Richard  Davidson1,2,3, Andrew Schoen2, Antoine Lutz1,3; 1Waisman Laboratory for Brain Imaging and Behavior, University of Wisconsin–Madison, 2Department of Psychology, University of Wisconsin–Madison, 3Center for Investigating Healthy Minds, University of Wisconsin–Madison",G17, EFFECTS OF MEDITATION ON THE TIME COURSE OF NEURAL CORRELATES OF PAIN PERCEPTION
